champion_id,riot_id,alias,name_en,name_ko,title_en,title_ko,gender,species,region,attack_type,tag_1,tag_2,partype,hp_base,hp_max,mp_base,mp_max,movespeed,armor_base,armor_max,spellblock_base,spellblock_max,attackrange,hpregen_base,hpregen_max,mpregen_base,mpregen_max,crit_base,crit_max,attackdamage_base,attackdamage_max,attackspeed_base,attackspeed_max,image_path
1,1,Annie,Annie,애니,the Dark Child,어둠의 아이,Female,Human,Noxus,ranged,Mage,Support,Mana,560,2192,418,843,335,23,91,30,52.1,625,5.5,14.85,8,21.6,0,0,50,50,0.61,0.751,1.png
2,2,Olaf,Olaf,올라프,the Berserker,광전사,Male,Human,Freljord,melee,Fighter,Tank,Mana,645,2668,316,1166,350,35,106.4,32,66.85,125,6.5,16.7,7.5,17.7,0,0,68,68,0.72,1.0505,2.png
3,3,Galio,Galio,갈리오,the Colossus,위대한 석상,Male,Construct / Golem,Demacia,melee,Tank,Mage,Mana,600,2742,410,1090,340,24,103.9,32,66.85,150,8,21.6,9.5,21.4,0,0,59,59,0.625,0.7844,3.png
4,4,TwistedFate,Twisted Fate,트위스티드 페이트,the Card Master,카드의 달인,Male,Human,Bilgewater,ranged,Mage,Marksman,Mana,604,2440,333,996,330,24,97.95,30,52.1,525,5.5,15.7,8,21.6,0,0,52,52,0.625,0.8906,4.png
5,5,XinZhao,Xin Zhao,신 짜오,the Seneschal of Demacia,데마시아의 호위무사,Male,Human,Demacia,melee,Fighter,Tank,Mana,620,2422,274,1209,345,35,109.8,32,66.85,175,8,19.9,7.25,14.9,0,0,63,63,0.645,1.0288,5.png
6,6,Urgot,Urgot,우르곳,the Dreadnought,살상 병기,Male,Human / Cyborg,Zaun,ranged,Fighter,Tank,Mana,655,2389,340,1105,330,36,121,32,66.85,350,7.5,19.4,7.25,20.85,0,0,63,63,0.625,1.0234,6.png
7,7,Leblanc,LeBlanc,르블랑,the Deceiver,환술사,Female,Human,Noxus,ranged,Assassin,Mage,Mana,598,2434,400,825,340,22,93.4,30,52.1,525,7.5,16.85,8,21.6,0,0,55,55,0.658,0.9209,7.png
8,8,Vladimir,Vladimir,블라디미르,the Crimson Reaper,진홍빛 사신,Male,Human,Noxus,ranged,Mage,Fighter,Crimson Rush,600,2470,2,2,330,24,100.5,30,52.1,450,7,17.2,0,0,0,0,55,55,0.658,0.8817,8.png
9,9,FiddleSticks,Fiddlesticks,피들스틱,the Ancient Fear,오래된 공포,Other,Demon,Runeterra,ranged,Mage,Support,Mana,650,2452,500,976,335,34,113.9,30,52.1,480,5.5,15.7,8,21.6,0,0,55,55,0.625,0.8492,9.png
10,10,Kayle,Kayle,케일,the Righteous,정의로운 자,Female,Celestial,Demacia,melee,Mage,Marksman,Mana,670,2234,330,1180,335,26,97.4,22,44.1,175,5,13.5,8,21.6,0,0,50,50,0.625,0.7844,10.png
11,11,MasterYi,Master Yi,마스터 이,the Wuju Bladesman,우주 검사,Male,Human,Ionia,melee,Fighter,Assassin,Mana,640,2425,251,965,355,33,109.5,32,66.85,175,7.5,18.55,7.25,14.9,0,0,65,65,0.679,0.9676,11.png
12,12,Alistar,Alistar,알리스타,the Minotaur,미노타우로스,Male,Minotaur,Runeterra,melee,Tank,Support,Mana,685,2725,350,1030,330,40,119.9,32,66.85,125,8.5,22.95,8.5,22.1,0,0,62,62,0.625,0.8508,12.png
13,13,Ryze,Ryze,라이즈,the Rune Mage,룬 마법사,Male,Human,Runeterra,ranged,Mage,,Mana,620,2728,300,1490,340,22,93.4,32,54.1,550,8,21.6,8,25,0,0,55,55,0.658,0.894,13.png
14,14,Sion,Sion,사이온,The Undead Juggernaut,언데드 학살병기,Male,Undead,Noxus,melee,Tank,Fighter,Mana,655,2134,400,1284,345,36,107.4,32,66.85,175,9,22.6,8,18.2,0,0,68,68,0.679,0.8291,14.png
15,15,Sivir,Sivir,시비르,the Battle Mistress,전장의 여제,Female,Human,Shurima,ranged,Marksman,,Mana,600,2368,340,1105,335,30,98,30,52.1,500,3.25,12.6,6,19.6,0,0,60,60,0.625,0.795,15.png
16,16,Soraka,Soraka,소라카,the Starchild,별의 아이,Female,Celestial,Targon,ranged,Support,Mage,Mana,605,2101,425,1105,325,32,117,30,52.1,550,2.5,11.0,11.5,18.3,0,0,50,50,0.625,0.8524,16.png
17,17,Teemo,Teemo,티모,the Swift Scout,날쌘 정찰병,Male,Yordle,Bandle City,ranged,Marksman,Mage,Mana,615,2383,334,759,330,24,100.5,30,52.1,500,5.5,16.55,9.6,17.25,0,0,54,54,0.69,1.0865,17.png
18,18,Tristana,Tristana,트리스타나,the Yordle Gunner,요들 사수,Female,Yordle,Bandle City,ranged,Marksman,Assassin,Mana,640,2374,300,844,325,30,98,28,50.1,550,4,12.5,7.2,14.85,0,0,60,60,0.656,0.8233,18.png
19,19,Warwick,Warwick,워윅,the Uncaged Wrath of Zaun,자운의 고삐 풀린 분노,Male,Human / Mutant,Zaun,melee,Fighter,Tank,Mana,620,2303,280,875,335,33,107.8,32,66.85,125,4,16.75,7.45,17.65,0,0,65,65,0.638,0.8549,19.png
20,20,Nunu,Nunu & Willump,누누와 윌럼프,the Boy and His Yeti,소년과 설인,Male,Human,Freljord,melee,Tank,Mage,Mana,610,2140,280,994,345,29,100.4,32,66.85,125,5,18.6,7,15.5,0,0,61,61,0.625,0.8641,20.png
21,21,MissFortune,Miss Fortune,미스 포츈,the Bounty Hunter,현상금 사냥꾼,Female,Human,Bilgewater,ranged,Marksman,Mage,Mana,625,2325,300,980,325,25,93,30,52.1,550,3.75,14.8,8,21.6,0,0,55,55,0.656,0.9906,21.png
22,22,Ashe,Ashe,애쉬,the Frost Archer,서리 궁수,Female,Human,Freljord,ranged,Marksman,Support,Mana,610,2327,280,875,325,26,104.2,30,52.1,600,3.5,12.85,7,18.05,0,0,59,59,0.658,0.9936,22.png
23,23,Tryndamere,Tryndamere,트린다미어,the Barbarian King,야만전사 왕,Male,Human,Freljord,melee,Fighter,Assassin,Fury,696,2532,100,100,345,33,114.6,32,66.85,175,8.5,23.8,0,0,0,0,66,66,0.67,1.0573,23.png
24,24,Jax,Jax,잭스,Grandmaster at Arms,무기의 달인,Male,Human,Icathia,melee,Fighter,,Mana,650,2401,339,1223,350,36,107.4,32,66.85,125,8.5,17.85,8.2,20.1,0,0,68,68,0.638,1.0068,24.png
