champion_id,english_name,local_name
1,Annie,애니
2,Olaf,올라프
3,Galio,갈리오
4,Twisted Fate,트위스티드 페이트
5,Xin Zhao,신 짜오
6,Urgot,우르곳
7,LeBlanc,르블랑
8,Vladimir,블라디미르
9,Fiddlesticks,피들스틱
10,Kayle,케일
11,Master Yi,마스터 이
12,Alistar,알리스타
13,Ryze,라이즈
14,Sion,사이온
15,Sivir,시비르
16,Soraka,소라카
17,Teemo,티모
18,Tristana,트리스타나
19,Warwick,워윅
20,Nunu & Willump,누누와 윌럼프
21,Miss Fortune,미스 포츈
22,Ashe,애쉬
23,Tryndamere,트린다미어
24,Jax,잭스
25,Morgana,모르가나
26,Zilean,질리언
27,Singed,신지드
28,Evelynn,이블린
29,Twitch,트위치
30,Karthus,카서스
31,Cho'Gath,초가스
32,Amumu,아무무
33,Rammus,람머스
34,Anivia,애니비아
35,Shaco,샤코
36,Dr. Mundo,문도 박사
37,Sona,소나
38,Kassadin,카사딘
39,Irelia,이렐리아
40,Janna,잔나
41,Gangplank,갱플랭크
42,Corki,코르키
43,Karma,카르마
44,Taric,타릭
45,Veigar,베이가
46,Trundle,트런들
47,Swain,스웨인
48,Caitlyn,케이틀린
49,Blitzcrank,블리츠크랭크
50,Malphite,말파이트
51,Katarina,카타리나
52,Nocturne,녹턴
53,Maokai,마오카이
54,Renekton,레넥톤
55,Jarvan IV,자르반 4세
56,Elise,엘리스
57,Orianna,오리아나
58,Wukong,오공
59,Brand,브랜드
60,Lee Sin,리 신
61,Vayne,베인
62,Rumble,럼블
63,Cassiopeia,카시오페아
64,Skarner,스카너
65,Heimerdinger,하이머딩거
66,Nasus,나서스
67,Nidalee,니달리
68,Udyr,우디르
69,Poppy,뽀삐
70,Gragas,그라가스
71,Pantheon,판테온
72,Ezreal,이즈리얼
73,Mordekaiser,모데카이저
74,Yorick,요릭
75,Akali,아칼리
76,Kennen,케넨
77,Garen,가렌
78,Leona,레오나
79,Malzahar,말자하
80,Talon,탈론
81,Riven,리븐
82,Kog'Maw,코그모
83,Shen,쉔
84,Lux,럭스
85,Xerath,제라스
86,Shyvana,쉬바나
87,Ahri,아리
88,Graves,그레이브즈
89,Fizz,피즈
90,Volibear,볼리베어
91,Rengar,렝가
92,Varus,바루스
93,Nautilus,노틸러스
94,Viktor,빅토르
95,Sejuani,세주아니
96,Fiora,피오라
97,Ziggs,직스
98,Lulu,룰루
99,Draven,드레이븐
100,Hecarim,헤카림
101,Kha'Zix,카직스
102,Darius,다리우스
103,Jayce,제이스
104,Lissandra,리산드라
105,Diana,다이애나
106,Quinn,퀸
107,Syndra,신드라
108,Aurelion Sol,아우렐리온 솔
109,Kayn,케인
110,Zoe,조이
111,Zyra,자이라
112,Kai'Sa,카이사
113,Seraphine,세라핀
114,Gnar,나르
115,Zac,자크
116,Yasuo,야스오
117,Vel'Koz,벨코즈
118,Taliyah,탈리야
119,Camille,카밀
120,Akshan,아크샨
121,Bel'Veth,벨베스
122,Braum,브라움
123,Jhin,진
124,Kindred,킨드레드
125,Zeri,제리
126,Jinx,징크스
127,Tahm Kench,탐 켄치
128,Briar,브라이어
129,Viego,비에고
130,Senna,세나
131,Lucian,루시안
132,Zed,제드
133,Kled,클레드
134,Ekko,에코
135,Qiyana,키아나
136,Vi,바이
137,Aatrox,아트록스
138,Nami,나미
139,Azir,아지르
140,Yuumi,유미
141,Samira,사미라
142,Thresh,쓰레쉬
143,Illaoi,일라오이
144,Rek'Sai,렉사이
145,Ivern,아이번
146,Kalista,칼리스타
147,Bard,바드
148,Rakan,라칸
149,Xayah,자야
150,Ornn,오른
151,Sylas,사일러스
152,Neeko,니코
153,Aphelios,아펠리오스
154,Rell,렐
155,Pyke,파이크
156,Vex,벡스
157,Yone,요네
158,Ambessa,암베사
159,Mel,멜
160,Yunara,유나라
161,Locke,로크
162,Sett,세트
163,Lillia,릴리아
164,Gwen,그웬
165,Renata Glasc,레나타 글라스크
166,Aurora,오로라
167,Nilah,닐라
168,K'Sante,크산테
169,Smolder,스몰더
170,Milio,밀리오
171,Zaahen,자헨
172,Hwei,흐웨이
173,Naafiri,나피리
